2022-04-03 13:17:28 status half-installed passwd:armel 1:4.5-1.1
2022-04-03 13:17:28 status unpacked passwd:armel 1:4.5-1.1
2022-04-03 13:17:28 install libsystemd0:armel <none> 241-7~deb10u8
2022-04-03 13:17:28 status half-installed libsystemd0:armel 241-7~deb10u8
2022-04-03 13:17:28 status unpacked libsystemd0:armel 241-7~deb10u8
2022-04-03 13:17:28 install libudev1:armel <none> 241-7~deb10u8
2022-04-03 13:17:28 status half-installed libudev1:armel 241-7~deb10u8
2022-04-03 13:17:28 status unpacked libudev1:armel 241-7~deb10u8
2022-04-03 13:17:28 install sysvinit-utils:armel <none> 2.93-8
2022-04-03 13:17:28 status half-installed sysvinit-utils:armel 2.93-8
2022-04-03 13:17:28 status unpacked sysvinit-utils:armel 2.93-8
2022-04-03 13:17:28 install tar:armel <none> 1.30+dfsg-6
2022-04-03 13:17:28 status half-installed tar:armel 1.30+dfsg-6
2022-04-03 13:17:29 status unpacked tar:armel 1.30+dfsg-6
2022-04-03 13:17:29 install tzdata:all <none> 2021a-0+deb10u3
2022-04-03 13:17:29 status half-installed tzdata:all 2021a-0+deb10u3
2022-04-03 13:17:29 status unpacked tzdata:all 2021a-0+deb10u3
2022-04-03 13:17:29 install bsdutils:armel <none> 1:2.33.1-0.1
2022-04-03 13:17:29 status half-installed bsdutils:armel 1:2.33.1-0.1
2022-04-03 13:17:29 status unpacked bsdutils:armel 1:2.33.1-0.1
2022-04-03 13:17:29 install fdisk:armel <none> 2.33.1-0.1
2022-04-03 13:17:29 status half-installed fdisk:armel 2.33.1-0.1
2022-04-03 13:17:29 status unpacked fdisk:armel 2.33.1-0.1
2022-04-03 13:17:29 install libblkid1:armel <none> 2.33.1-0.1
2022-04-03 13:17:29 status half-installed libblkid1:armel 2.33.1-0.1
2022-04-03 13:17:29 status unpacked libblkid1:armel 2.33.1-0.1
2022-04-03 13:17:29 install libfdisk1:armel <none> 2.33.1-0.1
2022-04-03 13:17:29 status half-installed libfdisk1:armel 2.33.1-0.1
2022-04-03 13:17:30 status unpacked libfdisk1:armel 2.33.1-0.1
2022-04-03 13:17:30 install libmount1:armel <none> 2.33.1-0.1
2022-04-03 13:17:30 status half-installed libmount1:armel 2.33.1-0.1
2022-04-03 13:17:30 status unpacked libmount1:armel 2.33.1-0.1
2022-04-03 13:17:30 install libsmartcols1:armel <none> 2.33.1-0.1
2022-04-03 13:17:30 status half-installed libsmartcols1:armel 2.33.1-0.1
2022-04-03 13:17:30 status unpacked libsmartcols1:armel 2.33.1-0.1
2022-04-03 13:17:30 install libuuid1:armel <none> 2.33.1-0.1
2022-04-03 13:17:30 status half-installed libuuid1:armel 2.33.1-0.1
2022-04-03 13:17:30 status unpacked libuuid1:armel 2.33.1-0.1
2022-04-03 13:17:30 install mount:armel <none> 2.33.1-0.1
2022-04-03 13:17:30 status half-installed mount:armel 2.33.1-0.1
2022-04-03 13:17:30 status unpacked mount:armel 2.33.1-0.1
2022-04-03 13:17:30 install util-linux:armel <none> 2.33.1-0.1
2022-04-03 13:17:30 status half-installed util-linux:armel 2.33.1-0.1
2022-04-03 13:17:30 status unpacked util-linux:armel 2.33.1-0.1
2022-04-03 13:17:30 install liblzma5:armel <none> 5.2.4-1
2022-04-03 13:17:30 status half-installed liblzma5:armel 5.2.4-1
2022-04-03 13:17:30 status unpacked liblzma5:armel 5.2.4-1
2022-04-03 13:17:31 install zlib1g:armel <none> 1:1.2.11.dfsg-1
2022-04-03 13:17:31 status half-installed zlib1g:armel 1:1.2.11.dfsg-1
2022-04-03 13:17:31 status unpacked zlib1g:armel 1:1.2.11.dfsg-1
2022-04-03 13:17:31 startup packages configure
2022-04-03 13:17:31 configure debian-archive-keyring:all 2019.1+deb10u1 <none>
2022-04-03 13:17:31 status unpacked debian-archive-keyring:all 2019.1+deb10u1
